,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
79,KBEST+5NN,0.6449,2000,3229,1591,5NN,,2000.0,
80,KBEST+2NN,0.6493,2000,3229,1591,2NN,,2000.0,
81,KBEST+1KNN,0.6474,2000,3229,1591,1KNN,,2000.0,
82,KBEST+LSVM,0.7002,2000,3229,1591,LSVM,,2000.0,
83,KBEST+NN100x50,0.7046,2000,3229,1591,NN100x50,,2000.0,
84,KBEST+NB,0.6625,3000,3229,1591,NB,,3000.0,
85,KBEST+LR,0.7184,3000,3229,1591,LR,,3000.0,
86,KBEST+5NN,0.6449,3000,3229,1591,5NN,,3000.0,
87,KBEST+2NN,0.648,3000,3229,1591,2NN,,3000.0,
88,KBEST+1KNN,0.6499,3000,3229,1591,1KNN,,3000.0,
89,KBEST+LSVM,0.7046,3000,3229,1591,LSVM,,3000.0,
90,KBEST+NN100x50,0.7165,3000,3229,1591,NN100x50,,3000.0,
91,KBEST+NB,0.6763,4000,3229,1591,NB,,4000.0,
92,KBEST+LR,0.7291,4000,3229,1591,LR,,4000.0,
93,KBEST+5NN,0.6644,4000,3229,1591,5NN,,4000.0,
94,KBEST+2NN,0.6562,4000,3229,1591,2NN,,4000.0,
95,KBEST+1KNN,0.6556,4000,3229,1591,1KNN,,4000.0,
96,KBEST+LSVM,0.7134,4000,3229,1591,LSVM,,4000.0,
97,KBEST+NN100x50,0.7278,4000,3229,1591,NN100x50,,4000.0,
98,KBEST+NB,0.682,5000,3229,1591,NB,,5000.0,
99,KBEST+LR,0.7304,5000,3229,1591,LR,,5000.0,
100,KBEST+5NN,0.6568,5000,3229,1591,5NN,,5000.0,
101,KBEST+2NN,0.6644,5000,3229,1591,2NN,,5000.0,
102,KBEST+1KNN,0.6631,5000,3229,1591,1KNN,,5000.0,
103,KBEST+LSVM,0.7209,5000,3229,1591,LSVM,,5000.0,
104,KBEST+NN100x50,0.7234,5000,3229,1591,NN100x50,,5000.0,
105,KBEST+NB,0.6901,6000,3229,1591,NB,,6000.0,
106,KBEST+LR,0.7461,6000,3229,1591,LR,,6000.0,
107,KBEST+5NN,0.6518,6000,3229,1591,5NN,,6000.0,
108,KBEST+2NN,0.6606,6000,3229,1591,2NN,,6000.0,
109,KBEST+1KNN,0.6606,6000,3229,1591,1KNN,,6000.0,
110,KBEST+LSVM,0.7253,6000,3229,1591,LSVM,,6000.0,
111,KBEST+NN100x50,0.7341,6000,3229,1591,NN100x50,,6000.0,
112,KBEST+NB,0.6914,7000,3229,1591,NB,,7000.0,
113,KBEST+LR,0.7354,7000,3229,1591,LR,,7000.0,
114,KBEST+5NN,0.643,7000,3229,1591,5NN,,7000.0,
115,KBEST+2NN,0.6562,7000,3229,1591,2NN,,7000.0,
116,KBEST+1KNN,0.6562,7000,3229,1591,1KNN,,7000.0,
117,KBEST+LSVM,0.7146,7000,3229,1591,LSVM,,7000.0,
118,KBEST+NN100x50,0.704,7000,3229,1591,NN100x50,,7000.0,
119,KBEST+NB,0.6914,10000,3229,1591,NB,,10000.0,
120,KBEST+LR,0.7454,10000,3229,1591,LR,,10000.0,
121,KBEST+5NN,0.6455,10000,3229,1591,5NN,,10000.0,
122,KBEST+2NN,0.6662,10000,3229,1591,2NN,,10000.0,
123,KBEST+1KNN,0.6631,10000,3229,1591,1KNN,,10000.0,
124,KBEST+LSVM,0.7128,10000,3229,1591,LSVM,,10000.0,
125,KBEST+NN100x50,0.7423,10000,3229,1591,NN100x50,,10000.0,
126,KBEST+NB,0.6952,14000,3229,1591,NB,,14000.0,
127,KBEST+LR,0.7436,14000,3229,1591,LR,,14000.0,
128,KBEST+5NN,0.6449,14000,3229,1591,5NN,,14000.0,
129,KBEST+2NN,0.6675,14000,3229,1591,2NN,,14000.0,
130,KBEST+1KNN,0.6593,14000,3229,1591,1KNN,,14000.0,
131,KBEST+LSVM,0.7222,14000,3229,1591,LSVM,,14000.0,
132,KBEST+NN100x50,0.7335,14000,3229,1591,NN100x50,,14000.0,
133,TOPN+NB,0.687,905,3229,1591,NB,,,5.0
134,TOPN+LR,0.7335,905,3229,1591,LR,,,5.0
135,TOPN+5NN,0.682,905,3229,1591,5NN,,,5.0
136,TOPN+2NN,0.6675,905,3229,1591,2NN,,,5.0
137,TOPN+1KNN,0.6744,905,3229,1591,1KNN,,,5.0
138,TOPN+LSVM,0.719,905,3229,1591,LSVM,,,5.0
139,TOPN+NN100x50,0.7278,905,3229,1591,NN100x50,,,5.0
140,TOPN+NB,0.6933,1533,3229,1591,NB,,,10.0
141,TOPN+LR,0.7392,1533,3229,1591,LR,,,10.0
142,TOPN+5NN,0.6662,1533,3229,1591,5NN,,,10.0
143,TOPN+2NN,0.6757,1533,3229,1591,2NN,,,10.0
144,TOPN+1KNN,0.675,1533,3229,1591,1KNN,,,10.0
145,TOPN+LSVM,0.7285,1533,3229,1591,LSVM,,,10.0
146,TOPN+NN100x50,0.7417,1533,3229,1591,NN100x50,,,10.0
147,TOPN+NB,0.6945,2064,3229,1591,NB,,,15.0
148,TOPN+LR,0.7467,2064,3229,1591,LR,,,15.0
149,TOPN+5NN,0.6574,2064,3229,1591,5NN,,,15.0
150,TOPN+2NN,0.6826,2064,3229,1591,2NN,,,15.0
151,TOPN+1KNN,0.682,2064,3229,1591,1KNN,,,15.0
152,TOPN+LSVM,0.7285,2064,3229,1591,LSVM,,,15.0
153,TOPN+NN100x50,0.7536,2064,3229,1591,NN100x50,,,15.0
154,TOPN+NB,0.692,2598,3229,1591,NB,,,20.0
155,TOPN+LR,0.7517,2598,3229,1591,LR,,,20.0
156,TOPN+5NN,0.6656,2598,3229,1591,5NN,,,20.0
157,TOPN+2NN,0.6794,2598,3229,1591,2NN,,,20.0
158,TOPN+1KNN,0.6807,2598,3229,1591,1KNN,,,20.0
159,TOPN+LSVM,0.7278,2598,3229,1591,LSVM,,,20.0
160,TOPN+NN100x50,0.7511,2598,3229,1591,NN100x50,,,20.0
161,TOPN+NB,0.6933,3045,3229,1591,NB,,,25.0
162,TOPN+LR,0.7473,3045,3229,1591,LR,,,25.0
163,TOPN+5NN,0.6549,3045,3229,1591,5NN,,,25.0
164,TOPN+2NN,0.6763,3045,3229,1591,2NN,,,25.0
165,TOPN+1KNN,0.6788,3045,3229,1591,1KNN,,,25.0
166,TOPN+LSVM,0.7348,3045,3229,1591,LSVM,,,25.0
167,TOPN+NN100x50,0.7234,3045,3229,1591,NN100x50,,,25.0
168,TOPN+NB,0.6958,4424,3229,1591,NB,,,50.0
169,TOPN+LR,0.7511,4424,3229,1591,LR,,,50.0
170,TOPN+5NN,0.6468,4424,3229,1591,5NN,,,50.0
171,TOPN+2NN,0.6694,4424,3229,1591,2NN,,,50.0
172,TOPN+1KNN,0.6782,4424,3229,1591,1KNN,,,50.0
173,TOPN+LSVM,0.7316,4424,3229,1591,LSVM,,,50.0
174,TOPN+NN100x50,0.7436,4424,3229,1591,NN100x50,,,50.0
175,TOPN+NB,0.6914,5595,3229,1591,NB,,,100.0
176,TOPN+LR,0.7511,5595,3229,1591,LR,,,100.0
177,TOPN+5NN,0.643,5595,3229,1591,5NN,,,100.0
178,TOPN+2NN,0.6744,5595,3229,1591,2NN,,,100.0
179,TOPN+1KNN,0.6763,5595,3229,1591,1KNN,,,100.0
180,TOPN+LSVM,0.7272,5595,3229,1591,LSVM,,,100.0
181,TOPN+NN100x50,0.7473,5595,3229,1591,NN100x50,,,100.0
182,TOPN+NB,0.6958,6404,3229,1591,NB,,,250.0
183,TOPN+LR,0.7448,6404,3229,1591,LR,,,250.0
184,TOPN+5NN,0.6449,6404,3229,1591,5NN,,,250.0
185,TOPN+2NN,0.6725,6404,3229,1591,2NN,,,250.0
186,TOPN+1KNN,0.6738,6404,3229,1591,1KNN,,,250.0
187,TOPN+LSVM,0.7304,6404,3229,1591,LSVM,,,250.0
188,TOPN+NN100x50,0.7542,6404,3229,1591,NN100x50,,,250.0
189,TOPN+NB,0.6958,6654,3229,1591,NB,,,500.0
190,TOPN+LR,0.7436,6654,3229,1591,LR,,,500.0
191,TOPN+5NN,0.6417,6654,3229,1591,5NN,,,500.0
192,TOPN+2NN,0.6725,6654,3229,1591,2NN,,,500.0
193,TOPN+1KNN,0.6706,6654,3229,1591,1KNN,,,500.0
194,TOPN+LSVM,0.7291,6654,3229,1591,LSVM,,,500.0
195,TOPN+NN100x50,0.7486,6654,3229,1591,NN100x50,,,500.0
