%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!START OF THE EXPERIMENT!
DATASET DIR PATH: /home/nkanak/Desktop/phd/experiments/GraphOfDocs/GraphOfDocs/data/20news-18828-all/
MIN NUMBER OF DOCUMENTS PER SELECTED COMMUNITY: 2
VARIANCE THRESHOLD: [0.0005, 0.001, 0.0015, 0.002, 0.003, 0.004, 0.005, 0.01]
SELECT KBEST K: [1000, 2000, 3000, 5000, 10000, 15000, 20000, 25000, 30000]
TOP N SELECTED COMMUNITY TERMS: [5, 10, 15, 20, 25, 50, 100, 250, 500]
Number of selected documents: 11610 
EXAMPLE OF THE PANDAS DATAFRAME
                 identifier  ...                                               text
11876      rec.autos_102735  ...  rdb1 cbnewsj att ronald deblock changing oil s...
17000  comp.windows.x_68077  ...  boutilie rtsg mot eric boutilier looking windo...

[2 rows x 4 columns]
Number of unique classes: 20
EXAMPLE OF THE EVALUATION RESULTS PANDAS DATAFRAME
   Method  Accuracy  Number of features  ...  variance thershold  kbest top_n
0  BOW+NB    0.9361               62384  ...                 NaN    NaN   NaN
1  BOW+LR    0.9387               62384  ...                 NaN    NaN   NaN

[2 rows x 9 columns]
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|          Method          | Accuracy | Number of features | Train size | Test size |            Details             |
|        TOPN+LSVM         |  0.9392  |       37281        |    7778    |    3832   |         {'top_n': 250}         |
|         KBEST+LR         |  0.9389  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|         META+NB          |  0.9387  |       14907        |    7778    |    3832   |               {}               |
|          BOW+LR          |  0.9387  |       62384        |    7778    |    3832   |               {}               |
|        TOPN+LSVM         |  0.9384  |       30793        |    7778    |    3832   |         {'top_n': 100}         |
|         TOPN+LR          |  0.9384  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|         LVAR+LR          |  0.9384  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|         KBEST+LR         |  0.9384  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|         KBEST+NB         |  0.9382  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|        TOPN+LSVM         |  0.9379  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|         META+LR          |  0.9376  |       14907        |    7778    |    3832   |               {}               |
|         KBEST+NB         |  0.9374  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|        LVAR+LSVM         |  0.9368  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|        KBEST+LSVM        |  0.9366  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|         LVAR+NB          |  0.9363  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|          BOW+NB          |  0.9361  |       62384        |    7778    |    3832   |               {}               |
|         LVAR+LR          |  0.9358  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|         KBEST+LR         |  0.9353  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|        KBEST+LSVM        |  0.9348  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|      LVAR+NN100x50       |  0.934   |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|      TOPN+NN500x250      |  0.9337  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|         KBEST+NB         |  0.9332  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|        KBEST+LSVM        |  0.9327  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|         KBEST+LR         |  0.9327  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|         LVAR+LR          |  0.9316  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|      TOPN+NN100x50       |  0.9314  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|         TOPN+LR          |  0.9311  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|         LVAR+LR          |  0.9308  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|         LVAR+NB          |  0.9306  |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|        LVAR+LSVM         |  0.9303  |       20410        |    7778    |    3832   | {'variance thershold': 0.001}  |
|         KBEST+NB         |  0.9293  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|        LVAR+LSVM         |  0.929   |       15779        |    7778    |    3832   | {'variance thershold': 0.0015} |
|         LVAR+NB          |  0.9282  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|        TOPN+LSVM         |  0.9277  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|         LVAR+LR          |  0.9277  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|     KBEST+NN500x250      |  0.9272  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         TOPN+NB          |  0.9269  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|         TOPN+LR          |  0.9269  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|        LVAR+LSVM         |  0.9251  |       13521        |    7778    |    3832   | {'variance thershold': 0.002}  |
|         KBEST+LR         |  0.9251  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|      LVAR+NN100x50       |  0.9241  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
|        KBEST+LSVM        |  0.9241  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|      LVAR+NN500x250      |  0.9233  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|         LVAR+LR          |  0.9217  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
|         LVAR+NB          |  0.9212  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|        LVAR+LSVM         |  0.9204  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|      TOPN+NN500x250      |  0.9196  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|         TOPN+NB          |  0.9196  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|         KBEST+NB         |  0.9194  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|         LVAR+LR          |  0.9186  |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|        TOPN+LSVM         |  0.917   |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|         TOPN+LR          |  0.917   |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|        KBEST+LSVM        |  0.9165  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|      LVAR+NN100x50       |  0.916   |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|      KBEST+NN100x50      |  0.9154  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         LVAR+NB          |  0.9152  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
