,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
89,KBEST+LR,0.8805,2000,7778,3832,LR,,2000.0,
90,KBEST+5NN,0.7049,2000,7778,3832,5NN,,2000.0,
91,KBEST+2NN,0.7557,2000,7778,3832,2NN,,2000.0,
92,KBEST+1KNN,0.7576,2000,7778,3832,1KNN,,2000.0,
93,KBEST+LSVM,0.8638,2000,7778,3832,LSVM,,2000.0,
94,KBEST+NN100x50,0.8779,2000,7778,3832,NN100x50,,2000.0,
95,KBEST+NN500x250,0.8847,2000,7778,3832,NN500x250,,2000.0,
96,KBEST+NB,0.8706,3000,7778,3832,NB,,3000.0,
97,KBEST+LR,0.8935,3000,7778,3832,LR,,3000.0,
98,KBEST+5NN,0.6965,3000,7778,3832,5NN,,3000.0,
99,KBEST+2NN,0.757,3000,7778,3832,2NN,,3000.0,
100,KBEST+1KNN,0.7615,3000,7778,3832,1KNN,,3000.0,
101,KBEST+LSVM,0.8758,3000,7778,3832,LSVM,,3000.0,
102,KBEST+NN100x50,0.8948,3000,7778,3832,NN100x50,,3000.0,
103,KBEST+NN500x250,0.9014,3000,7778,3832,NN500x250,,3000.0,
104,KBEST+NB,0.9001,5000,7778,3832,NB,,5000.0,
105,KBEST+LR,0.9084,5000,7778,3832,LR,,5000.0,
106,KBEST+5NN,0.721,5000,7778,3832,5NN,,5000.0,
107,KBEST+2NN,0.7565,5000,7778,3832,2NN,,5000.0,
108,KBEST+1KNN,0.7557,5000,7778,3832,1KNN,,5000.0,
109,KBEST+LSVM,0.8922,5000,7778,3832,LSVM,,5000.0,
110,KBEST+NN100x50,0.9154,5000,7778,3832,NN100x50,,5000.0,
111,KBEST+NN500x250,0.9272,5000,7778,3832,NN500x250,,5000.0,
112,KBEST+NB,0.9194,10000,7778,3832,NB,,10000.0,
113,KBEST+LR,0.9251,10000,7778,3832,LR,,10000.0,
114,KBEST+5NN,0.6803,10000,7778,3832,5NN,,10000.0,
115,KBEST+2NN,0.7516,10000,7778,3832,2NN,,10000.0,
116,KBEST+1KNN,0.7537,10000,7778,3832,1KNN,,10000.0,
117,KBEST+LSVM,0.9165,10000,7778,3832,LSVM,,10000.0,
118,KBEST+NN100x50,0.9405,10000,7778,3832,NN100x50,,10000.0,
119,KBEST+NN500x250,0.9444,10000,7778,3832,NN500x250,,10000.0,
120,KBEST+NB,0.9293,15000,7778,3832,NB,,15000.0,
121,KBEST+LR,0.9327,15000,7778,3832,LR,,15000.0,
122,KBEST+5NN,0.696,15000,7778,3832,5NN,,15000.0,
123,KBEST+2NN,0.7505,15000,7778,3832,2NN,,15000.0,
124,KBEST+1KNN,0.7466,15000,7778,3832,1KNN,,15000.0,
125,KBEST+LSVM,0.9241,15000,7778,3832,LSVM,,15000.0,
126,KBEST+NN100x50,0.9442,15000,7778,3832,NN100x50,,15000.0,
127,KBEST+NN500x250,0.9517,15000,7778,3832,NN500x250,,15000.0,
128,KBEST+NB,0.9332,20000,7778,3832,NB,,20000.0,
129,KBEST+LR,0.9353,20000,7778,3832,LR,,20000.0,
130,KBEST+5NN,0.7129,20000,7778,3832,5NN,,20000.0,
131,KBEST+2NN,0.7544,20000,7778,3832,2NN,,20000.0,
132,KBEST+1KNN,0.7537,20000,7778,3832,1KNN,,20000.0,
133,KBEST+LSVM,0.9327,20000,7778,3832,LSVM,,20000.0,
134,KBEST+NN100x50,0.9502,20000,7778,3832,NN100x50,,20000.0,
135,KBEST+NN500x250,0.9528,20000,7778,3832,NN500x250,,20000.0,
136,KBEST+NB,0.9374,25000,7778,3832,NB,,25000.0,
137,KBEST+LR,0.9384,25000,7778,3832,LR,,25000.0,
138,KBEST+5NN,0.697,25000,7778,3832,5NN,,25000.0,
139,KBEST+2NN,0.7544,25000,7778,3832,2NN,,25000.0,
140,KBEST+1KNN,0.7516,25000,7778,3832,1KNN,,25000.0,
141,KBEST+LSVM,0.9348,25000,7778,3832,LSVM,,25000.0,
142,KBEST+NN100x50,0.9556,25000,7778,3832,NN100x50,,25000.0,
143,KBEST+NN500x250,0.9538,25000,7778,3832,NN500x250,,25000.0,
144,KBEST+NB,0.9382,30000,7778,3832,NB,,30000.0,
145,KBEST+LR,0.9389,30000,7778,3832,LR,,30000.0,
146,KBEST+5NN,0.6464,30000,7778,3832,5NN,,30000.0,
147,KBEST+2NN,0.7521,30000,7778,3832,2NN,,30000.0,
148,KBEST+1KNN,0.7458,30000,7778,3832,1KNN,,30000.0,
149,KBEST+LSVM,0.9366,30000,7778,3832,LSVM,,30000.0,
150,KBEST+NN100x50,0.9564,30000,7778,3832,NN100x50,,30000.0,
151,KBEST+NN500x250,0.958,30000,7778,3832,NN500x250,,30000.0,
152,TOPN+NB,0.7996,982,7778,3832,NB,,,5.0
153,TOPN+LR,0.8233,982,7778,3832,LR,,,5.0
154,TOPN+5NN,0.6644,982,7778,3832,5NN,,,5.0
155,TOPN+2NN,0.7174,982,7778,3832,2NN,,,5.0
156,TOPN+1KNN,0.7231,982,7778,3832,1KNN,,,5.0
157,TOPN+LSVM,0.7871,982,7778,3832,LSVM,,,5.0
158,TOPN+NN100x50,0.8233,982,7778,3832,NN100x50,,,5.0
159,TOPN+NN500x250,0.8463,982,7778,3832,NN500x250,,,5.0
160,TOPN+NB,0.8854,2926,7778,3832,NB,,,10.0
161,TOPN+LR,0.9006,2926,7778,3832,LR,,,10.0
162,TOPN+5NN,0.7169,2926,7778,3832,5NN,,,10.0
163,TOPN+2NN,0.7667,2926,7778,3832,2NN,,,10.0
164,TOPN+1KNN,0.7735,2926,7778,3832,1KNN,,,10.0
165,TOPN+LSVM,0.8802,2926,7778,3832,LSVM,,,10.0
166,TOPN+NN100x50,0.9134,2926,7778,3832,NN100x50,,,10.0
167,TOPN+NN500x250,0.9196,2926,7778,3832,NN500x250,,,10.0
168,TOPN+NB,0.9058,5096,7778,3832,NB,,,15.0
169,TOPN+LR,0.917,5096,7778,3832,LR,,,15.0
