,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
95,KBEST+1KNN,0.9852,4000,546,270,1KNN,,4000.0,
96,KBEST+LSVM,0.9963,4000,546,270,LSVM,,4000.0,
97,KBEST+NN100x50,0.9926,4000,546,270,NN100x50,,4000.0,
98,KBEST+NB,0.9963,5000,546,270,NB,,5000.0,
99,KBEST+LR,0.9963,5000,546,270,LR,,5000.0,
100,KBEST+5NN,0.9778,5000,546,270,5NN,,5000.0,
101,KBEST+2NN,0.9741,5000,546,270,2NN,,5000.0,
102,KBEST+1KNN,0.9741,5000,546,270,1KNN,,5000.0,
103,KBEST+LSVM,0.9963,5000,546,270,LSVM,,5000.0,
104,KBEST+NN100x50,0.9926,5000,546,270,NN100x50,,5000.0,
105,KBEST+NB,0.9963,6000,546,270,NB,,6000.0,
106,KBEST+LR,0.9963,6000,546,270,LR,,6000.0,
107,KBEST+5NN,0.9667,6000,546,270,5NN,,6000.0,
108,KBEST+2NN,0.9667,6000,546,270,2NN,,6000.0,
109,KBEST+1KNN,0.9667,6000,546,270,1KNN,,6000.0,
110,KBEST+LSVM,0.9963,6000,546,270,LSVM,,6000.0,
111,KBEST+NN100x50,0.9926,6000,546,270,NN100x50,,6000.0,
112,KBEST+NB,0.9963,7000,546,270,NB,,7000.0,
113,KBEST+LR,0.9963,7000,546,270,LR,,7000.0,
114,KBEST+5NN,0.9481,7000,546,270,5NN,,7000.0,
115,KBEST+2NN,0.9556,7000,546,270,2NN,,7000.0,
116,KBEST+1KNN,0.9556,7000,546,270,1KNN,,7000.0,
117,KBEST+LSVM,0.9963,7000,546,270,LSVM,,7000.0,
118,KBEST+NN100x50,0.9926,7000,546,270,NN100x50,,7000.0,
119,KBEST+NB,0.9963,10000,546,270,NB,,10000.0,
120,KBEST+LR,1.0,10000,546,270,LR,,10000.0,
121,KBEST+5NN,0.8889,10000,546,270,5NN,,10000.0,
122,KBEST+2NN,0.9222,10000,546,270,2NN,,10000.0,
123,KBEST+1KNN,0.9222,10000,546,270,1KNN,,10000.0,
124,KBEST+LSVM,0.9963,10000,546,270,LSVM,,10000.0,
125,KBEST+NN100x50,0.9963,10000,546,270,NN100x50,,10000.0,
126,KBEST+NB,0.9963,14000,546,270,NB,,14000.0,
127,KBEST+LR,1.0,14000,546,270,LR,,14000.0,
128,KBEST+5NN,0.837,14000,546,270,5NN,,14000.0,
129,KBEST+2NN,0.9222,14000,546,270,2NN,,14000.0,
130,KBEST+1KNN,0.9222,14000,546,270,1KNN,,14000.0,
131,KBEST+LSVM,0.9963,14000,546,270,LSVM,,14000.0,
132,KBEST+NN100x50,0.9963,14000,546,270,NN100x50,,14000.0,
133,TOPN+NB,0.9815,120,546,270,NB,,,5.0
134,TOPN+LR,1.0,120,546,270,LR,,,5.0
135,TOPN+5NN,0.9926,120,546,270,5NN,,,5.0
136,TOPN+2NN,0.9852,120,546,270,2NN,,,5.0
