,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
84,KBEST+NB,0.7305,1000,623,308,NB,,1000.0,
85,KBEST+LR,0.7435,1000,623,308,LR,,1000.0,
86,KBEST+5NN,0.6721,1000,623,308,5NN,,1000.0,
87,KBEST+2NN,0.6688,1000,623,308,2NN,,1000.0,
88,KBEST+1KNN,0.6883,1000,623,308,1KNN,,1000.0,
89,KBEST+LSVM,0.7532,1000,623,308,LSVM,,1000.0,
90,KBEST+NN100x50,0.7565,1000,623,308,NN100x50,,1000.0,
91,KBEST+NB,0.737,2000,623,308,NB,,2000.0,
92,KBEST+LR,0.7662,2000,623,308,LR,,2000.0,
93,KBEST+5NN,0.6721,2000,623,308,5NN,,2000.0,
94,KBEST+2NN,0.6688,2000,623,308,2NN,,2000.0,
95,KBEST+1KNN,0.6753,2000,623,308,1KNN,,2000.0,
96,KBEST+LSVM,0.763,2000,623,308,LSVM,,2000.0,
97,KBEST+NN100x50,0.7468,2000,623,308,NN100x50,,2000.0,
98,KBEST+NB,0.7403,3000,623,308,NB,,3000.0,
99,KBEST+LR,0.7727,3000,623,308,LR,,3000.0,
100,KBEST+5NN,0.6656,3000,623,308,5NN,,3000.0,
101,KBEST+2NN,0.6331,3000,623,308,2NN,,3000.0,
102,KBEST+1KNN,0.6201,3000,623,308,1KNN,,3000.0,
103,KBEST+LSVM,0.7435,3000,623,308,LSVM,,3000.0,
104,KBEST+NN100x50,0.7338,3000,623,308,NN100x50,,3000.0,
105,KBEST+NB,0.737,4000,623,308,NB,,4000.0,
106,KBEST+LR,0.7468,4000,623,308,LR,,4000.0,
107,KBEST+5NN,0.6623,4000,623,308,5NN,,4000.0,
108,KBEST+2NN,0.6429,4000,623,308,2NN,,4000.0,
109,KBEST+1KNN,0.6526,4000,623,308,1KNN,,4000.0,
110,KBEST+LSVM,0.763,4000,623,308,LSVM,,4000.0,
111,KBEST+NN100x50,0.75,4000,623,308,NN100x50,,4000.0,
112,KBEST+NB,0.7435,5000,623,308,NB,,5000.0,
113,KBEST+LR,0.7597,5000,623,308,LR,,5000.0,
114,KBEST+5NN,0.6331,5000,623,308,5NN,,5000.0,
115,KBEST+2NN,0.6623,5000,623,308,2NN,,5000.0,
116,KBEST+1KNN,0.6623,5000,623,308,1KNN,,5000.0,
117,KBEST+LSVM,0.7532,5000,623,308,LSVM,,5000.0,
118,KBEST+NN100x50,0.724,5000,623,308,NN100x50,,5000.0,
119,KBEST+NB,0.737,6000,623,308,NB,,6000.0,
120,KBEST+LR,0.763,6000,623,308,LR,,6000.0,
